iter	RMSE
141	2053.778197
142	2049.519131
143	2046.929475
144	2044.296863
145	2041.798858
146	2039.2806
147	2036.092736
148	2032.42598
149	2030.371125
150	2028.829964
151	2025.505737
152	2024.279896
153	2022.214274
154	2018.320128
155	2014.99026
156	2011.547097
157	2010.014257
158	2008.369823
159	2005.288087
160	2003.002113
161	1999.369785
162	1997.123784
163	1996.263761
164	1995.159397
165	1993.077977
166	1992.019943
167	1987.300109
168	1985.781639
169	1984.548085
170	1982.921823
171	1980.666278
172	1980.002788
173	1978.63612
174	1977.05851
175	1975.743275
176	1973.837144
177	1971.881122
178	1970.339805
179	1969.170665
180	1967.742542
181	1965.436013
182	1963.435854
183	1961.289676
184	1959.722589
185	1957.127891
186	1954.24787
187	1953.335864
188	1952.11929
189	1949.99593
190	1949.562078
191	1948.887958
192	1945.885058
193	1944.215285
194	1942.343257
195	1940.258987
196	1937.834903
197	1937.343916
198	1936.889386
199	1935.77495
200	1934.510692
201	1933.750712
202	1930.229463
203	1929.502349
204	1926.916467
205	1926.123509
206	1924.535237
207	1923.843944
208	1921.524157
209	1917.959136
210	1916.904729
211	1916.684256
212	1914.751778
213	1913.837807
214	1912.329272
215	1911.201381
216	1910.990811
217	1910.825039
218	1908.209311
219	1906.699322
220	1903.605343
221	1901.833286
222	1901.455055
223	1899.660648
224	1899.515256
225	1899.374429
226	1897.574639
227	1896.567424
228	1896.224048
229	1896.128409
230	1894.537663
231	1891.376732
232	1889.387326
233	1889.295836
234	1887.315361
235	1887.228198
236	1887.055741
237	1886.973122
238	1885.311046
239	1883.762859
240	1882.096501
241	1879.925283
242	1879.846599
243	1878.256206
244	1876.646538
245	1876.570085
246	1876.151069
247	1876.079153
248	1875.107092
249	1875.038387
250	1874.991682
251	1873.060545
252	1871.592757
253	1869.724463
254	1867.078448
255	1866.103099
256	1864.364609
257	1862.497939
258	1861.363031
259	1859.477333
260	1859.432513
261	1857.682083
262	1856.560923
263	1856.518171
264	1855.442244
265	1855.401321
266	1853.795865
267	1852.879377
268	1851.379605
269	1850.017398
270	1849.912304
271	1846.482157
272	1846.434927
273	1844.466147
274	1842.599759
275	1839.580703
276	1838.191175
277	1838.155626
278	1837.151594
279	1835.996675
280	1833.571818
281	1832.658818
282	1832.631438
283	1830.948327
284	1829.42049
285	1829.343696
286	1828.246092
287	1828.19628
288	1826.800988
289	1826.776277
290	1825.542965
291	1823.208454
292	1822.435483
293	1822.317708
294	1820.74632
295	1820.723738
296	1819.385156
297	1819.362904
298	1817.054733
299	1815.57868
300	1814.396412
301	1812.246882
302	1811.631042
303	1810.243697
304	1810.221368
305	1808.488627
306	1805.832259
307	1805.810532
308	1803.737167
309	1801.391727
310	1800.281377
311	1798.682125
312	1796.661218
313	1794.900031
314	1794.099515
315	1793.573536
316	1792.304495
317	1791.151113
318	1789.811822
319	1788.249863
320	1788.229509
321	1786.768252
322	1785.707128
323	1784.557847
324	1782.147627
325	1780.351897
326	1778.339417
327	1778.277742
328	1777.475724
329	1776.68298
330	1775.782728
331	1775.183154
332	1774.269614
333	1773.214798
334	1772.459692
335	1771.347016
336	1770.597553
337	1769.036766
338	1767.531538
339	1766.275788
340	1766.210045
341	1765.017598
342	1763.423472
343	1762.186007
344	1760.757683
345	1759.732392
346	1758.72653
347	1757.686783
348	1756.431789
349	1755.107612
350	1753.604176
351	1752.785678
352	1751.696433
353	1751.677454
354	1750.993279
355	1750.222987
356	1750.145545
357	1749.806706
358	1749.566969
359	1749.396609
360	1748.323687
361	1748.290059
362	1747.526017
363	1747.069573
364	1747.000439
365	1746.0088
366	1745.188207
367	1744.171708
368	1743.353177
369	1742.081384
370	1740.626391
371	1739.338123
372	1737.645093
373	1737.580571
374	1737.165339
375	1736.158961
376	1735.138764
377	1734.186394
378	1731.857483
379	1731.231223
380	1731.095345
381	1730.976558
382	1730.030896
383	1729.377733
384	1728.410413
385	1727.475351
386	1726.676425
387	1726.567372
388	1725.139694
389	1725.131687
390	1723.797899
391	1721.566331
392	1720.760663
393	1719.822601
394	1719.814866
395	1718.81767
396	1717.610857
397	1716.714066
398	1715.55229
399	1714.831154
400	1713.416412
401	1712.336062
402	1711.473518
403	1710.938447
404	1709.343103
405	1708.32575
406	1707.885406
407	1707.004997
408	1705.676658
409	1704.712617
410	1703.817229
411	1702.079364
412	1701.63758
413	1701.07053
414	1698.303373
415	1697.333888
416	1696.34371
417	1696.32675
418	1695.097809
419	1694.521873
420	1694.358483
421	1693.331295
422	1692.414738
423	1691.841016
424	1691.828258
425	1691.031834
426	1690.571952
427	1689.821898
428	1689.377446
429	1688.619371
430	1687.955512
431	1686.517735
432	1685.210232
433	1684.255363
434	1682.989623
435	1681.946955
436	1681.401604
437	1681.389263
438	1680.339657
439	1679.887722
440	1679.051692
441	1676.657121
442	1676.241228
443	1675.579923
444	1674.102842
445	1673.051151
446	1671.967539
447	1671.272316
448	1670.593406
449	1669.721871
450	1669.678088
451	1667.939315
452	1667.524276
453	1666.789073
454	1666.123954
455	1665.401857
456	1664.324069
457	1664.308303
458	1663.524631
459	1663.271564
460	1663.122725
461	1662.2161
462	1662.204323
463	1661.546132
464	1660.645986
465	1659.932638
466	1659.100927
467	1658.53656
468	1658.530713
469	1658.519251
470	1656.839347
471	1655.985739
472	1655.171176
473	1655.156133
474	1654.424965
475	1653.766366
476	1653.087322
477	1652.061954
478	1650.968263
479	1649.782145
480	1649.561493
481	1649.25245
482	1649.241998
483	1648.603969
484	1648.03187
485	1646.396117
486	1645.378887
487	1643.836708
488	1643.745144
489	1643.731268
490	1643.164613
491	1642.512256
492	1642.489652
493	1641.405021
494	1638.973749
495	1638.314723
496	1637.407857
497	1636.473662
498	1635.675709
499	1635.66627
500	1635.353624
501	1635.29179
502	1634.488719
503	1633.69787
504	1632.13887
505	1631.606819
506	1630.968484
507	1630.108605
508	1628.227547
509	1628.223114
510	1627.698895
511	1627.23847
512	1626.292656
513	1626.280664
514	1625.701338
515	1623.883342
516	1623.551403
517	1622.846452
518	1620.806407
519	1620.008278
520	1619.270973
521	1618.545197
522	1618.536457
523	1618.531722
524	1617.824741
525	1616.903121
526	1615.596369
527	1614.85105
528	1613.453063
529	1612.500766
530	1611.747436
531	1611.715124
532	1610.947424
533	1610.503628
534	1609.738121
535	1609.733922
536	1609.16005
537	1607.417146
538	1606.891613
539	1606.015115
540	1605.32453
541	1604.550258
542	1603.968119
543	1602.048266
544	1600.095315
545	1599.308302
546	1598.360222
547	1598.349978
548	1598.337391
549	1597.685961
550	1597.485136
551	1597.05492
552	1596.356361
553	1595.709867
554	1595.679681
555	1595.211362
556	1594.178188
557	1593.808151
558	1593.139578
559	1591.912632
560	1590.806567
561	1588.908057
562	1588.049957
563	1587.383497
564	1586.869042
565	1586.554971
566	1586.090532
567	1584.233095
568	1583.062095
569	1582.416719
570	1581.242607
571	1580.7236
572	1580.695573
573	1579.129741
574	1579.12491
575	1578.383071
576	1577.654749
577	1576.586541
578	1575.905333
579	1575.896096
580	1574.881199
581	1574.085961
582	1573.2396
583	1571.505194
584	1571.010703
585	1570.188945
586	1569.352832
587	1568.838229
588	1568.829497
589	1568.230755
590	1568.199068
591	1568.189892
592	1567.607138
593	1567.101142
594	1566.167069
595	1565.425305
596	1565.420866
597	1565.354515
598	1564.918863
599	1564.632068
600	1563.834086
601	1563.076753
602	1562.525174
603	1561.880364
604	1560.709447
605	1560.134573
606	1560.127303
607	1560.082464
608	1559.773023
609	1558.497453
610	1558.10674
611	1557.726642
612	1556.700378
613	1555.652596
614	1554.923864
615	1554.916814
616	1554.230973
617	1553.551028
618	1553.093782
619	1553.072856
620	1552.273701
621	1551.395903
622	1550.570745
623	1549.737727
624	1549.195238
625	1548.714337
626	1547.962746
627	1547.377863
628	1546.596598
629	1546.321119
630	1545.646412
631	1544.88187
632	1544.136077
633	1544.03286
634	1544.008899
635	1543.412536
636	1542.458304
637	1542.288455
638	1541.640455
639	1541.095376
640	1540.503266
641	1539.665663
642	1538.99648
643	1538.877421
644	1538.273657
645	1537.396404
646	1536.895171
647	1536.602881
648	1535.879357
649	1535.071433
650	1534.189241
651	1533.854416
652	1533.354087
653	1532.916533
654	1532.289416
655	1531.659688
656	1530.85093
657	1530.053607
658	1529.789302
659	1529.03949
660	1528.554705
661	1528.11712
662	1527.836495
663	1527.798923
664	1527.425069
665	1527.310406
666	1527.169771
667	1526.287114
668	1526.256424
669	1525.24009
670	1525.216464
671	1524.809269
672	1524.693197
673	1524.234871
674	1523.663321
675	1523.024001
676	1522.554683
677	1522.148348
678	1521.253019
679	1519.860468
680	1519.319561
681	1518.945319
682	1518.381744
683	1518.233325
684	1517.153349
685	1517.138997
686	1516.859785
687	1516.35025
688	1516.340866
689	1515.682017
690	1515.332402
691	1514.412526
692	1513.676711
693	1512.975696
694	1512.044029
695	1511.29099
696	1510.942043
697	1510.708829
698	1509.867802
699	1509.262673
700	1508.467541
701	1507.931605
702	1507.494515
703	1507.010285
704	1506.276607
705	1505.725019
706	1505.06863
707	1504.941505
708	1504.637092
709	1503.989977
710	1503.725808
711	1503.277171
712	1502.779903
713	1502.094072
714	1501.617824
715	1501.176687
716	1500.833549
717	1500.014193
718	1499.320894
719	1498.712614
720	1498.246893
721	1497.989896
722	1497.528716
723	1496.935783
724	1496.483139
725	1496.113645
726	1496.107217
727	1496.099623
728	1495.640795
729	1494.969482
730	1494.253868
731	1493.816854
732	1493.283813
733	1492.267387
734	1492.134403
735	1491.577424
736	1490.772858
737	1489.808861
738	1488.885527
739	1488.385815
740	1487.715704
741	1487.430414
742	1486.902389
743	1485.941264
744	1485.88085
745	1485.375245
746	1485.274559
747	1484.699805
748	1484.097534
749	1483.567716
750	1483.03298
751	1482.512063
752	1481.938437
753	1481.517004
754	1481.071619
755	1480.710507
756	1480.27191
757	1479.586375
758	1479.176153
759	1478.8459
760	1478.275757
761	1477.836242
762	1477.508152
763	1477.048229
764	1476.107729
765	1475.685125
766	1475.253858
767	1474.829143
768	1474.817874
769	1474.453683
770	1474.005938
771	1473.533219
772	1473.415675
773	1473.014361
774	1472.989617
775	1472.963237
776	1472.442288
777	1471.934246
778	1471.492097
779	1470.680807
780	1470.266343
781	1469.659111
782	1469.029096
783	1468.57026
784	1468.17135
785	1467.712499
786	1467.670637
787	1467.203541
788	1466.809951
789	1466.653895
790	1466.226715
791	1466.049015
792	1465.768104
793	1465.745417
794	1465.272414
795	1465.029248
796	1464.714503
797	1463.986888
798	1463.378983
799	1463.012944
800	1462.230482
801	1461.7883
802	1461.297703
803	1460.518083
804	1460.139178
805	1459.656627
806	1459.316209
807	1458.890835
808	1458.431239
809	1458.131717
810	1457.623999
811	1457.161888
812	1456.651484
813	1455.981144
814	1455.553929
815	1455.23743
816	1454.870348
817	1454.454914
818	1454.061051
819	1453.569611
820	1453.153734
821	1452.718334
822	1451.995296
823	1451.986209
824	1451.44794
825	1450.947843
826	1450.688675
827	1450.141689
828	1450.118741
829	1449.48592
830	1449.112405
831	1448.584579
832	1448.231832
833	1448.100016
834	1447.578023
835	1447.2125
836	1446.529792
837	1446.247374
838	1445.830965
839	1445.328846
840	1444.896986
841	1444.547445
842	1443.990846
843	1443.220952
844	1442.873904
845	1442.579879
846	1441.946142
847	1441.637521
848	1441.618496
849	1441.190005
850	1440.906558
851	1440.382407
852	1439.994367
853	1439.496556
854	1439.181195
855	1438.627523
856	1438.27172
857	1437.74263
858	1437.487222
859	1437.078609
860	1436.022325
861	1435.356219
862	1434.898497
863	1434.529642
864	1434.182438
865	1433.676192
866	1433.373258
867	1433.152198
868	1432.661716
869	1432.568795
870	1432.205776
871	1431.85161
872	1431.630465
873	1431.325593
874	1430.812839
875	1430.460217
876	1430.060227
877	1429.471042
878	1429.347317
879	1428.933164
880	1428.618051
881	1428.410239
882	1428.226314
883	1427.347946
884	1426.947867
885	1426.668644
886	1426.353436
887	1426.16255
888	1425.472405
889	1425.246789
890	1424.772492
891	1424.350801
892	1424.083243
893	1423.52947
894	1423.253795
895	1422.999426
896	1422.330193
897	1422.019238
898	1421.758555
899	1421.476264
900	1421.333534
901	1421.048436
902	1420.735504
903	1420.37076
904	1420.36608
905	1419.704498
906	1419.271813
907	1419.095145
908	1418.470879
909	1418.361513
910	1417.801127
911	1417.464939
912	1417.029255
913	1416.627466
914	1416.601695
915	1416.183359
916	1415.850668
917	1415.344653
918	1415.340187
919	1415.123138
920	1414.494335
921	1414.036964
922	1413.587918
923	1413.292334
924	1412.805566
925	1412.488197
926	1412.483857
927	1412.078731
928	1411.998714
929	1411.562365
930	1411.214601
931	1410.700561
932	1410.406763
933	1409.971324
934	1409.427232
935	1409.306445
936	1408.776133
937	1408.437129
938	1407.868263
939	1407.501897
940	1407.057712
941	1406.756403
942	1406.575123
943	1406.438703
944	1406.041459
945	1405.599603
946	1405.177588
947	1404.93108
948	1404.365126
949	1404.24333
950	1404.170864
951	1403.829254
952	1403.637486
953	1402.990517
954	1402.629844
955	1402.244825
956	1402.073798
957	1401.803438
958	1401.74432
959	1401.631381
960	1401.265564
961	1401.06933
962	1400.819025
963	1400.607704
964	1400.366665
965	1399.781896
966	1399.394665
967	1399.116948
968	1398.862641
969	1398.600906
970	1398.356296
971	1397.894793
972	1397.649197
973	1397.37902
974	1397.08536
975	1396.627445
976	1396.456877
977	1396.19729
978	1395.651885
979	1395.316608
980	1394.938305
981	1394.786657
982	1394.137959
983	1393.924492
984	1393.637613
985	1393.083382
986	1392.703391
987	1392.535486
988	1392.351956
989	1391.841227
990	1391.509293
991	1391.117508
992	1390.883923
993	1390.550324
994	1390.349614
995	1390.178418
996	1390.008955
997	1389.6591
998	1389.405397
999	1389.007174
